0,0.25806
0.1,0.50855
0.2,0.79357
0.3,0.55773
0.4,0.99226
0.5,1.1906
0.6,0.78639
0.7,0.76164
0.8,1.014
0.9,1.1021
1,1.2656
1.1,1.3991
1.2,1.0176
1.3,1.226
1.4,1.7865
1.5,1.0267
1.6,1.9284
1.7,1.722
1.8,1.4625
1.9,1.5248
2,1.1466
2.1,1.3221
2.2,1.7716
2.3,1.2925
2.4,1.1966
2.5,0.83007
2.6,1.0044
2.7,1.0514
2.8,1.0141
2.9,0.63476
3,0.50856
3.1,1.0296
3.2,-0.020635
3.3,0.72742
3.4,0.65775
3.5,0.4454
3.6,-0.34381
3.7,-0.26796
3.8,-0.2765
3.9,-0.0080382
4,-0.62025
4.1,-0.09705
4.2,-0.76481
4.3,-0.26241
4.4,-0.45743
4.5,-0.19848
4.6,-0.27865
4.7,-0.096203
4.8,-0.10524
4.9,-0.64829
5,-0.26018
5.1,-0.728
5.2,-0.85291
